평균기온,강수량,미세먼지
7.0,0.0,40.0
8.4,7.2,45.0
2.6,14.2,11.0
2.1,7.4,7.0
4.6,0.0,11.0
4.9,0.1,13.0
5.1,0.0,24.0
7.4,0.0,26.0
6.2,0.0,36.0
6.4,0.0,40.0
8.7,0.0,42.0
10.9,0.0,45.0
11.0,0.0,54.0
10.6,0.0,40.0
7.5,2.0,21.0
5.1,0.0,20.0
3.8,0.0,30.0
2.4,0.2,27.0
4.1,0.0,43.0
8.0,0.0,46.0
13.3,0.0,48.0
15.3,0.0,48.0
16.3,0.0,56.0
17.3,0.0,76.0
17.1,0.0,123.0
17.1,0.0,67.0
18.1,0.0,39.0
9.4,0.0,43.0
5.3,0.3,22.0
4.8,0.0,20.0
6.8,0.0,36.0
10.0,0.0,37.0
9.6,3.3,29.0
9.9,0.0,27.0
11.1,0.0,31.0
10.5,1.2,29.0
12.4,0.0,34.0
13.9,0.0,37.0
15.9,0.0,57.0
14.4,0.0,67.0
15.7,0.0,52.0
16.9,0.0,38.0
14.2,8.9,33.0
7.4,11.0,40.0
5.9,6.4,22.0
10.3,0.1,16.0
15.7,0.0,38.0
19.2,0.0,51.0
21.8,0.0,60.0
21.5,0.3,33.0
17.1,0.9,19.0
19.6,0.0,26.0
16.3,17.9,22.0
17.5,0.4,19.0
17.9,0.0,49.0
14.5,0.0,59.0
15.4,0.0,31.0
17.3,0.0,31.0
17.3,0.0,43.0
15.4,0.0,39.0
19.1,0.0,41.0
16.4,32.6,29.0
15.3,0.0,21.0
11.1,15.4,18.0
15.3,0.0,28.0
11.8,1.3,24.0
12.2,0.0,22.0
15.5,0.0,26.0
18.3,0.0,35.0
14.9,16.1,19.0
15.1,0.0,12.0
15.5,0.1,23.0
17.2,0.0,35.0
18.7,0.0,45.0
20.6,0.0,42.0
20.8,1.7,26.0
19.6,29.0,20.0
22.5,5.1,22.0
18.1,0.0,52.0
20.6,0.0,41.0
24.9,0.0,33.0
24.9,0.0,21.0
20.1,0.0,29.0
18.3,0.0,26.0
14.6,1.5,13.0
18.3,0.9,16.0
20.4,0.0,27.0
21.6,0.0,37.0
21.1,0.4,45.0
19.5,29.5,31.0
18.9,0.0,18.0
20.4,0.0,19.0
23.0,0.0,29.0
20.9,0.0,41.0
22.8,0.0,31.0
22.3,0.0,25.0
22.5,0.0,20.0
22.6,0.0,38.0
24.6,0.0,34.0
26.2,0.0,32.0
26.5,0.3,33.0
26.2,0.0,31.0
25.0,0.0,19.0
25.5,0.0,31.0
21.1,25.2,30.0
22.2,79.5,12.0
26.7,0.0,25.0
25.5,1.3,19.0
