date,averageTemperature,precipitation,pm10,kospiReturn
2025-01-02,8.9,0.0,51.0,-0.02
2025-01-03,9.8,0.0,40.0,1.79
2025-01-06,10.3,0.0,32.0,1.91
2025-01-07,13.5,0.0,54.0,0.14
2025-01-08,13.8,0.0,67.0,1.16
2025-01-09,12.7,0.8,47.0,0.03
2025-01-10,13.2,0.0,46.0,-0.24
2025-01-13,5.5,4.2,44.0,-1.04
2025-01-14,4.4,7.4,17.0,0.31
2025-01-15,8.2,0.0,24.0,-0.02
2025-01-16,14.6,0.0,41.0,1.23
2025-01-17,19.7,0.0,61.0,-0.16
2025-01-20,16.7,0.0,22.0,-0.14
2025-01-21,20.7,0.0,27.0,-0.08
2025-01-22,17.8,34.8,18.0,1.15
2025-01-23,16.8,0.0,16.0,-1.24
2025-01-24,14.7,0.0,47.0,0.85
2025-01-31,14.7,21.1,34.0,-0.77
2025-02-03,13.7,0.0,33.0,-2.52
2025-02-04,12.1,0.0,28.0,1.13
2025-02-05,14.4,0.0,21.0,1.11
2025-02-06,14.9,0.0,32.0,1.10
2025-02-07,17.4,0.0,57.0,-0.58
2025-02-10,14.7,0.0,53.0,-0.03
2025-02-11,17.0,0.0,47.0,0.71
2025-02-12,19.9,0.0,42.0,0.37
2025-02-13,21.0,0.0,40.0,1.36
2025-02-14,19.5,1.1,30.0,0.31
2025-02-17,15.6,0.0,33.0,0.75
2025-02-18,16.1,61.6,37.0,0.63
2025-02-19,22.2,1.0,19.0,1.70
2025-02-20,25.5,0.0,18.0,-0.65
2025-02-21,23.9,0.8,25.0,0.02
2025-02-24,17.4,0.0,19.0,-0.35
2025-02-25,19.7,0.0,38.0,-0.57
2025-02-26,20.8,0.0,53.0,0.41
2025-02-27,20.8,0.0,53.0,-0.73
2025-02-28,21.2,0.0,38.0,-3.39
2025-03-04,21.0,0.0,53.0,-0.15
2025-03-05,20.9,0.0,42.0,1.16
2025-03-06,20.5,0.0,29.0,0.70
2025-03-07,21.7,0.0,25.0,-0.49
2025-03-10,25.1,0.6,27.0,0.27
2025-03-11,24.2,0.0,32.0,-1.28
2025-03-12,21.7,0.0,19.0,1.47
2025-03-13,22.7,0.0,26.0,-0.05
2025-03-14,25.5,0.0,34.0,-0.28
2025-03-17,26.3,11.8,23.0,1.73
2025-03-18,23.0,20.0,32.0,0.06
2025-03-19,24.8,0.0,43.0,0.62
2025-03-20,25.5,0.0,43.0,0.32
2025-03-21,28.1,0.8,30.0,0.23
2025-03-24,23.3,0.0,29.0,-0.42
2025-03-25,26.1,0.0,35.0,-0.62
2025-03-26,25.0,2.3,22.0,1.08
2025-03-27,20.9,8.0,10.0,-1.39
2025-03-28,22.2,1.1,17.0,-1.89
2025-03-31,27.1,0.0,16.0,-3.00
2025-04-01,28.2,0.0,11.0,1.62
2025-04-02,28.6,0.9,11.0,-0.62
2025-04-03,28.6,0.0,13.0,-0.76
2025-04-04,28.3,0.0,23.0,-0.86
2025-04-07,29.1,0.0,25.0,-5.57
2025-04-08,29.1,0.0,45.0,0.26
2025-04-09,31.3,11.8,38.0,-1.74
2025-04-10,31.9,0.0,22.0,6.60
2025-04-11,31.4,0.0,16.0,-0.50
2025-04-14,27.7,0.0,30.0,0.95
2025-04-15,24.2,13.6,21.0,0.88
2025-04-16,23.6,4.0,9.0,-1.21
2025-04-17,23.3,73.1,20.0,0.94
2025-04-18,23.3,75.5,8.0,0.53
2025-04-21,27.7,14.8,16.0,0.20
2025-04-22,28.5,0.0,18.0,-0.07
2025-04-23,28.8,0.1,16.0,1.57
2025-04-24,28.9,0.0,16.0,-0.13
2025-04-25,29.8,0.0,25.0,0.95
2025-04-28,32.8,0.0,18.0,0.10
2025-04-29,32.2,0.0,36.0,0.65
2025-04-30,32.0,0.0,38.0,-0.34
2025-05-02,30.9,0.0,28.0,0.12
2025-05-07,29.1,0.0,19.0,0.55
2025-05-08,27.1,22.0,19.0,0.22
2025-05-09,28.2,0.0,18.0,-0.09
2025-05-12,27.3,0.0,20.0,1.17
2025-05-13,27.0,0.0,27.0,0.04
2025-05-14,28.6,0.0,19.0,1.23
2025-05-15,25.1,126.7,9.0,-0.73
2025-05-16,25.5,47.8,11.0,0.21
2025-05-19,28.4,0.0,15.0,-0.89
2025-05-20,28.9,2.2,26.0,-0.06
2025-05-21,29.1,0.0,14.0,0.91
2025-05-22,29.4,0.0,15.0,-1.22
2025-05-23,29.8,0.0,17.0,-0.06
2025-05-26,30.2,0.0,22.0,2.02
2025-05-27,28.7,17.1,22.0,-0.27
2025-05-28,27.6,5.4,15.0,1.25
2025-05-29,26.7,0.0,20.0,1.89
2025-05-30,28.3,0.0,22.0,-0.84
2025-06-02,28.5,0.0,23.0,0.05
2025-06-04,26.0,0.0,19.0,2.66
2025-06-05,27.6,0.0,22.0,1.49
2025-06-09,25.3,0.2,16.0,1.55
2025-06-10,24.4,0.0,27.0,0.56
2025-06-11,23.7,0.0,34.0,1.23
2025-06-12,24.8,0.0,25.0,0.45
2025-06-13,25.8,0.0,20.0,-0.87
2025-06-16,24.8,0.0,12.0,1.80
2025-06-17,25.7,0.0,19.0,0.12
2025-06-18,23.7,7.5,20.0,0.74
2025-06-19,22.7,52.7,12.0,0.19
2025-06-20,22.1,0.0,11.0,1.48
2025-06-23,21.6,0.0,7.0,-0.24
2025-06-24,21.3,0.0,11.0,2.96
2025-06-25,22.7,0.0,14.0,0.15
2025-06-26,22.0,35.2,12.0,-0.92
2025-06-27,22.5,0.3,17.0,-0.77
2025-06-30,20.0,44.5,15.0,0.52
2025-07-01,19.6,0.0,28.0,0.58
2025-07-02,19.8,0.0,33.0,-0.47
2025-07-03,20.5,0.0,30.0,1.34
2025-07-04,21.4,0.0,28.0,-1.99
2025-07-07,21.4,18.1,9.0,0.17
2025-07-08,17.6,36.8,6.0,1.81
2025-07-09,18.2,7.1,4.0,0.60
2025-07-10,21.9,0.0,11.0,1.58
2025-07-11,20.0,0.0,11.0,-0.23
2025-07-14,19.0,0.1,6.0,0.83
2025-07-15,15.7,25.1,4.0,0.41
2025-07-16,17.9,0.6,5.0,-0.90
2025-07-17,20.2,1.5,9.0,0.19
2025-07-18,20.2,1.3,7.0,-0.13
2025-07-21,14.5,0.0,17.0,0.71
2025-07-22,10.0,0.0,23.0,-1.27
2025-07-23,9.2,0.0,27.0,0.44
2025-07-24,13.1,0.0,18.0,0.21
2025-07-25,14.9,0.0,10.0,0.18
2025-07-28,12.2,0.5,38.0,0.42
2025-07-29,8.1,0.0,29.0,0.66
2025-07-30,8.5,0.0,22.0,0.74
2025-07-31,11.4,0.0,27.0,-0.28
2025-08-01,12.8,0.0,35.0,-3.88
2025-08-04,8.0,0.2,29.0,0.91
2025-08-05,7.2,0.0,21.0,1.60
2025-08-06,10.2,0.0,29.0,0.00
2025-08-07,11.6,0.0,36.0,0.92
2025-08-08,12.5,0.0,53.0,-0.55
2025-08-11,13.5,0.0,42.0,-0.10
2025-08-12,8.3,0.4,21.0,-0.53
2025-08-13,8.9,0.0,26.0,1.08
2025-08-14,10.8,0.0,36.0,0.04
2025-08-18,11.6,3.5,39.0,-1.50
2025-08-19,3.2,0.0,41.0,-0.81
2025-08-20,1.6,0.0,29.0,-0.68
2025-08-21,3.0,0.0,33.0,0.37
2025-08-22,7.4,0.0,42.0,0.86
2025-08-25,10.9,0.0,46.0,1.30
2025-08-26,12.4,0.0,78.0,-0.95
2025-08-27,7.4,7.8,81.0,0.25
2025-08-28,6.4,0.0,46.0,0.29
2025-08-29,5.1,10.0,34.0,-0.32
2025-09-01,12.4,0.0,80.0,-1.35
2025-09-02,5.5,0.0,49.0,0.94
2025-09-03,0.1,0.0,18.0,0.38
2025-09-04,-5.9,0.0,19.0,0.52
2025-09-05,-3.2,4.0,22.0,0.13
2025-09-08,8.3,0.0,80.0,0.45
2025-09-09,3.4,0.0,34.0,1.26
2025-09-10,2.8,0.0,23.0,1.67
2025-09-11,4.9,0.0,41.0,0.90
2025-09-12,4.0,12.9,39.0,1.54
2025-09-15,-0.1,0.1,25.0,0.35
2025-09-16,0.7,0.0,31.0,1.24
2025-09-17,3.8,2.1,39.0,-1.05
2025-09-18,4.2,0.0,65.0,1.40
2025-09-19,2.3,0.0,32.0,-0.46
2025-09-22,-1.1,0.0,25.0,0.68
2025-09-23,-0.7,0.0,29.0,0.51
2025-09-24,2.6,10.8,21.0,-0.40
2025-09-25,2.8,0.0,26.0,-0.03
2025-09-26,-3.6,0.0,26.0,-2.45
2025-09-29,3.2,0.6,42.0,1.33
2025-09-30,4.9,0.3,60.0,-0.19
2025-10-01,-0.5,0.0,19.0,0.91
2025-10-02,-5.6,0.0,21.0,2.70
2025-10-06,0.2,0.0,42.0,0.00
2025-10-10,-5.1,0.0,29.0,1.73
2025-10-13,-6.7,0.0,20.0,-0.72
2025-10-14,-3.8,20.7,26.0,-0.63
2025-10-15,-3.3,0.0,28.0,2.68
2025-10-16,-3.3,0.0,22.0,2.49
2025-10-17,4.7,0.0,74.0,0.01
2025-10-20,0.4,0.0,41.0,1.76
2025-10-21,-3.9,1.0,45.0,0.24
2025-10-22,-8.4,0.0,30.0,1.56
2025-10-23,-9.7,0.0,29.0,-0.98
2025-10-24,-9.1,0.0,22.0,2.50
2025-10-27,-6.0,0.0,22.0,2.57
2025-10-28,-4.2,0.0,35.0,-0.80
2025-10-29,-4.4,0.0,41.0,1.76
2025-10-30,-5.4,0.0,33.0,0.14
2025-10-31,-5.2,0.0,30.0,0.50
2025-11-03,-2.0,0.0,35.0,2.78
2025-11-04,-2.1,2.4,38.0,-2.37
2025-11-05,-0.9,0.0,36.0,-2.85
2025-11-06,2.8,0.0,64.0,0.55
2025-11-07,3.6,0.0,80.0,-1.81
2025-11-10,-8.2,0.0,27.0,3.02
2025-11-11,-3.1,0.0,29.0,0.81
2025-11-12,1.4,0.8,50.0,1.07
2025-11-13,2.7,0.0,74.0,0.49
2025-11-14,2.8,0.0,68.0,-3.81
2025-11-17,6.6,0.0,64.0,1.94
2025-11-18,2.4,0.0,36.0,-3.32
2025-11-19,1.7,0.0,28.0,-0.61
2025-11-20,2.4,0.0,38.0,1.92
2025-11-21,2.1,0.0,28.0,-3.79
2025-11-24,8.4,0.0,89.0,-0.19
2025-11-25,1.8,0.0,29.0,0.30
2025-11-26,2.8,0.0,38.0,2.67
2025-11-27,7.4,0.0,42.0,0.66
2025-11-28,8.3,0.0,33.0,-1.51
2025-12-01,9.1,0.0,22.0,-0.16
2025-12-02,4.9,12.2,6.0,1.90
2025-12-03,5.9,1.3,6.0,1.04
2025-12-04,6.0,0.0,27.0,-0.19
2025-12-05,6.0,15.5,50.0,1.78
2025-12-08,2.0,0.0,34.0,1.34
2025-12-09,4.5,0.0,58.0,-0.27
2025-12-10,3.9,0.0,52.0,-0.21
2025-12-11,4.5,0.0,45.0,-0.59
2025-12-12,7.1,0.0,51.0,1.38
2025-12-15,7.4,0.1,51.0,-1.84
2025-12-16,7.4,0.0,71.0,-2.24
2025-12-17,8.8,0.0,82.0,1.43
2025-12-18,6.8,4.8,56.0,-1.53
2025-12-19,6.1,0.0,34.0,0.65
2025-12-22,11.0,0.0,45.0,2.12
2025-12-23,11.9,0.0,56.0,0.28
2025-12-24,12.9,0.0,54.0,-0.21
2025-12-26,12.1,0.0,66.0,0.51
2025-12-29,13.6,0.0,54.0,2.20
2025-12-30,16.0,11.0,54.0,-0.15
