실행시간,분석모드,구분,결과값
"2026-06-02 19:03:55","KOSPI날씨분석","5도↓",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5~15도",-0.02
"2026-06-02 19:03:55","KOSPI날씨분석","15~22도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5도↓",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5~15도",0.885
"2026-06-02 19:03:55","KOSPI날씨분석","15~22도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5도↓",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5~15도",1.2266666666666666
"2026-06-02 19:03:55","KOSPI날씨분석","15~22도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5도↓",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5~15도",0.955
"2026-06-02 19:03:55","KOSPI날씨분석","15~22도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5도↓",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5~15도",0.9959999999999999
"2026-06-02 19:03:55","KOSPI날씨분석","15~22도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5도↓",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5~15도",0.835
"2026-06-02 19:03:55","KOSPI날씨분석","15~22도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5도↓",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","5~15도",0.6814285714285714
"2026-06-02 19:03:55","KOSPI날씨분석","15~22도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:55","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","5도↓",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","5~15도",0.46624999999999994
"2026-06-02 19:03:56","KOSPI날씨분석","15~22도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:56","KOSPI날씨분석","5~15도",0.46624999999999994
"2026-06-02 19:03:56","KOSPI날씨분석","15~22도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:56","KOSPI날씨분석","5~15도",0.41222222222222216
"2026-06-02 19:03:56","KOSPI날씨분석","15~22도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:56","KOSPI날씨분석","5~15도",0.49399999999999994
"2026-06-02 19:03:56","KOSPI날씨분석","15~22도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:56","KOSPI날씨분석","5~15도",0.49399999999999994
"2026-06-02 19:03:56","KOSPI날씨분석","15~22도",-0.16
"2026-06-02 19:03:56","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:56","KOSPI날씨분석","5~15도",0.49399999999999994
"2026-06-02 19:03:56","KOSPI날씨분석","15~22도",-0.15000000000000002
"2026-06-02 19:03:56","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:56","KOSPI날씨분석","5~15도",0.49399999999999994
"2026-06-02 19:03:56","KOSPI날씨분석","15~22도",-0.12666666666666668
"2026-06-02 19:03:56","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:56","KOSPI날씨분석","5~15도",0.49399999999999994
"2026-06-02 19:03:56","KOSPI날씨분석","15~22도",0.19249999999999995
"2026-06-02 19:03:56","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:56","KOSPI날씨분석","5~15도",0.49399999999999994
"2026-06-02 19:03:56","KOSPI날씨분석","15~22도",-0.09400000000000004
"2026-06-02 19:03:56","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:56","KOSPI날씨분석","5~15도",0.5263636363636363
"2026-06-02 19:03:56","KOSPI날씨분석","15~22도",-0.09400000000000004
"2026-06-02 19:03:56","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:56","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:57","KOSPI날씨분석","5~15도",0.4183333333333333
"2026-06-02 19:03:57","KOSPI날씨분석","15~22도",-0.09400000000000004
"2026-06-02 19:03:57","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:57","KOSPI날씨분석","5~15도",0.19230769230769226
"2026-06-02 19:03:57","KOSPI날씨분석","15~22도",-0.09400000000000004
"2026-06-02 19:03:57","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:57","KOSPI날씨분석","5~15도",0.25928571428571423
"2026-06-02 19:03:57","KOSPI날씨분석","15~22도",-0.09400000000000004
"2026-06-02 19:03:57","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:57","KOSPI날씨분석","5~15도",0.31599999999999995
"2026-06-02 19:03:57","KOSPI날씨분석","15~22도",-0.09400000000000004
"2026-06-02 19:03:57","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:57","KOSPI날씨분석","5~15도",0.365
"2026-06-02 19:03:57","KOSPI날씨분석","15~22도",-0.09400000000000004
"2026-06-02 19:03:57","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:57","KOSPI날씨분석","5~15도",0.365
"2026-06-02 19:03:57","KOSPI날씨분석","15~22도",-0.17500000000000004
"2026-06-02 19:03:57","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:57","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:57","KOSPI날씨분석","15~22도",-0.17500000000000004
"2026-06-02 19:03:57","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:57","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:57","KOSPI날씨분석","15~22도",-0.04857142857142861
"2026-06-02 19:03:57","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:57","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:57","KOSPI날씨분석","15~22도",0.0037499999999999617
"2026-06-02 19:03:57","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:57","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:57","KOSPI날씨분석","15~22도",0.1544444444444444
"2026-06-02 19:03:57","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:57","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:58","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:58","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:58","KOSPI날씨분석","15~22도",0.16999999999999998
"2026-06-02 19:03:58","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:58","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:58","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:58","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:58","KOSPI날씨분석","15~22도",0.2227272727272727
"2026-06-02 19:03:58","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:58","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:58","KOSPI날씨분석","5도↓",0.31
"2026-06-02 19:03:58","KOSPI날씨분석","5~15도",0.3417647058823529
"2026-06-02 19:03:58","KOSPI날씨분석","15~22도",0.25666666666666665
"2026-06-02 19:03:58","KOSPI날씨분석","22~28도",0.0
"2026-06-02 19:03:58","KOSPI날씨분석","28도↑",0.0
"2026-06-02 19:03:58","KOSPI날씨분석","5도↓",0.31
