실행시간,날씨,기온,습도,강수량,풍속,미세먼지
"2026-06-02 18:45:19","맑음",21.6,90.0,0.0,4.4,5.5
"2026-06-02 18:46:13","맑음",21.6,90.0,0.0,4.4,5.5
"2026-06-02 18:50:58","맑음",21.6,90.0,0.0,4.4,5.5
"2026-06-02 18:56:41","맑음",21.6,90.0,0.0,4.4,5.5
"2026-06-02 18:57:51","맑음",21.6,90.0,0.0,4.4,5.5
"2026-06-02 19:03:49","맑음",21.3,91.0,0.0,3.7,5.6
"2026-06-02 19:09:33","맑음",21.3,91.0,0.0,3.7,5.6
"2026-06-02 19:11:50","맑음",21.3,91.0,0.0,3.7,5.6
"2026-06-02 19:21:30","맑음",21.1,91.0,0.0,3.5,5.6
"2026-06-02 19:27:55","맑음",21.1,91.0,0.0,3.5,5.6
"2026-06-02 19:30:07","맑음",21.1,91.0,0.0,3.5,5.6
"2026-06-02 19:52:53","맑음",20.7,89,0.0,3.8,7.8
"2026-06-02 19:57:50","맑음",20.7,89,0.0,3.8,7.8
"2026-06-02 20:03:13","맑음",20.5,89,0.0,4.0,13.0
"2026-06-02 20:05:09","맑음",20.5,89,0.0,4.0,13.0
"2026-06-02 20:27:50","맑음",20.0,87,0.0,3.6,13.0
"2026-06-02 20:48:27","맑음",19.5,88,0.0,4.9,13.0
"2026-06-02 22:09:01","맑음",18.5,91,0.0,6.6,18.2
"2026-06-03 00:33:46","맑음",17.3,94,0.0,5.0,21.4
"2026-06-03 00:35:32","맑음",17.3,94,0.0,5.0,21.4
"2026-06-03 00:36:55","맑음",17.3,94,0.0,5.0,21.4
"2026-06-03 01:52:46","맑음",16.6,96,0.0,7.2,23.1
"2026-06-03 12:08:51","폭염",26.6,67,0.0,2.9,15.1
"2026-06-03 16:49:42","폭염",28.3,64,0.0,8.7,18.5
"2026-06-03 16:51:39","폭염",28.3,64,0.0,8.7,18.5
"2026-06-03 16:52:52","폭염",28.3,64,0.0,8.7,18.5
"2026-06-03 16:54:07","폭염",28.3,64,0.0,8.7,18.5
