실행시간,날씨,추천음식,추천이유
"2026-06-02 18:45:19","맑음","과일 주스","가볍게 마시기 좋고 산뜻한 기분을 줍니다."
"2026-06-02 18:46:13","맑음","파스타","외부 소비 증가 흐름과 연결하기 좋은 메뉴입니다."
"2026-06-02 18:50:58","맑음","과일 주스","가볍게 마시기 좋고 산뜻한 기분을 줍니다."
"2026-06-02 18:56:41","맑음","샐러드","상쾌한 날씨와 잘 맞는 가벼운 메뉴입니다."
"2026-06-02 18:57:51","맑음","김밥","소풍이나 외출 상황에 어울리는 대표적인 간편식입니다."
"2026-06-02 19:03:49","맑음","과일 주스","가볍게 마시기 좋고 산뜻한 기분을 줍니다."
"2026-06-02 19:09:33","맑음","샐러드","상쾌한 날씨와 잘 맞는 가벼운 메뉴입니다."
"2026-06-02 19:11:50","맑음","김밥","소풍이나 외출 상황에 어울리는 대표적인 간편식입니다."
"2026-06-02 19:21:30","맑음","샐러드","상쾌한 날씨와 잘 맞는 가벼운 메뉴입니다."
"2026-06-02 19:27:55","맑음","과일 주스","가볍게 마시기 좋고 산뜻한 기분을 줍니다."
"2026-06-02 19:30:07","맑음","샌드위치","가볍게 들고 나가기 좋고, 활동적인 날씨와 잘 맞습니다."
"2026-06-02 19:52:53","맑음","샐러드","상쾌한 날씨와 잘 맞는 가벼운 메뉴입니다."
"2026-06-02 19:57:50","맑음","과일 주스","가볍게 마시기 좋고 산뜻한 기분을 줍니다."
"2026-06-02 20:03:13","맑음","샌드위치","가볍게 들고 나가기 좋고, 활동적인 날씨와 잘 맞습니다."
"2026-06-02 20:05:09","맑음","과일 주스","가볍게 마시기 좋고 산뜻한 기분을 줍니다."
"2026-06-02 20:27:50","맑음","파스타","외부 소비 증가 흐름과 연결하기 좋은 메뉴입니다."
"2026-06-02 20:48:27","맑음","과일 주스","가볍게 마시기 좋고 산뜻한 기분을 줍니다."
"2026-06-02 22:09:01","맑음","샌드위치","가볍게 들고 나가기 좋고, 활동적인 날씨와 잘 맞습니다."
"2026-06-03 00:33:46","맑음","샐러드","상쾌한 날씨와 잘 맞는 가벼운 메뉴입니다."
"2026-06-03 00:35:32","맑음","파스타","외부 소비 증가 흐름과 연결하기 좋은 메뉴입니다."
"2026-06-03 00:36:55","맑음","샐러드","상쾌한 날씨와 잘 맞는 가벼운 메뉴입니다."
"2026-06-03 01:52:46","맑음","김밥","소풍이나 외출 상황에 어울리는 대표적인 간편식입니다."
"2026-06-03 12:08:51","폭염","빙수","더위를 피하는 대표적인 여름 디저트입니다."
"2026-06-03 16:49:42","폭염","초계국수","가볍고 시원해 폭염 상황에 적합합니다."
"2026-06-03 16:51:39","폭염","초계국수","가볍고 시원해 폭염 상황에 적합합니다."
"2026-06-03 16:52:52","폭염","수박","수분 보충과 더위 완화에 적합한 여름 음식입니다."
"2026-06-03 16:54:07","폭염","아이스크림","즉각적으로 시원함을 느낄 수 있는 메뉴입니다."
