실행시간,갱신기준날씨,갱신테마,대표종목,현재가,수익률,추천음식
"2026-06-02 20:05:40","한파","난방·겨울소비","S-Oil",108300.0,3.4383954154727796,"국밥"
"2026-06-02 20:28:24","폭염","냉방·여름소비","삼성전자",360500.0,3.29512893982808,"빙수"
"2026-06-02 20:30:30","폭염","냉방·여름소비","삼성전자",360500.0,3.29512893982808,"초계국수"
"2026-06-02 20:31:19","한파","난방·겨울소비","S-Oil",108300.0,3.4383954154727796,"죽"
"2026-06-02 20:50:12","폭염","냉방·여름소비","삼성전자",360500.0,3.29512893982808,"초계국수"
"2026-06-02 20:51:08","한파","난방·겨울소비","S-Oil",108300.0,3.4383954154727796,"전골"
"2026-06-02 22:54:07","폭염","냉방·여름소비","삼성전자",360500.0,3.29512893982808,"빙수"
"2026-06-02 23:36:08","폭염","냉방·여름소비","삼성전자",360500.0,3.29512893982808,"아이스크림"
"2026-06-03 01:46:59","폭염","냉방·여름소비","LG전자",392500.0,33.95904436860068,"아이스크림"
"2026-06-03 01:49:41","한파","난방·겨울소비","S-Oil",108300.0,0.8379888268156425,"전골"
"2026-06-03 01:57:47","폭염","냉방·여름소비","LG전자",392500.0,33.95904436860068,"아이스크림"
"2026-06-03 01:58:14","한파","난방·겨울소비","S-Oil",108300.0,0.8379888268156425,"어묵탕"
"2026-06-03 15:07:16","한파","난방·겨울소비","S-Oil",108300.0,3.4383954154727796,"호떡"
"2026-06-03 16:51:15","한파","난방·겨울소비","S-Oil",108300.0,3.4383954154727796,"호떡"
"2026-06-03 16:53:43","한파","난방·겨울소비","S-Oil",108300.0,3.4383954154727796,"죽"
"2026-06-03 16:55:08","한파","난방·겨울소비","S-Oil",108300.0,3.4383954154727796,"국밥"
