평균기온,강수량,미세먼지
10.1,0.0,60.0
8.9,0.0,51.0
9.8,0.0,40.0
10.6,0.0,44.0
8.0,22.8,27.0
10.3,0.0,32.0
13.5,0.0,54.0
13.8,0.0,67.0
12.7,0.8,47.0
13.2,0.0,46.0
16.2,0.0,56.0
12.9,15.4,37.0
5.5,4.2,44.0
4.4,7.4,17.0
8.2,0.0,24.0
14.6,0.0,41.0
19.7,0.0,61.0
18.6,0.0,71.0
15.3,9.2,39.0
16.7,0.0,22.0
20.7,0.0,27.0
17.8,34.8,18.0
16.8,0.0,16.0
14.7,0.0,47.0
12.5,0.0,52.0
13.8,0.0,37.0
14.9,0.0,26.0
15.1,0.0,37.0
14.8,0.0,40.0
18.4,0.0,42.0
14.7,21.1,34.0
13.4,0.0,24.0
11.2,7.3,18.0
13.7,0.0,33.0
12.1,0.0,28.0
14.4,0.0,21.0
14.9,0.0,32.0
17.4,0.0,57.0
15.1,17.6,48.0
12.3,14.1,23.0
14.7,0.0,53.0
17.0,0.0,47.0
19.9,0.0,42.0
21.0,0.0,40.0
19.5,1.1,30.0
19.4,51.3,32.0
18.3,2.2,19.0
15.6,0.0,33.0
16.1,61.6,37.0
22.2,1.0,19.0
25.5,0.0,18.0
23.9,0.8,25.0
19.4,1.2,30.0
15.6,4.3,19.0
17.4,0.0,19.0
19.7,0.0,38.0
20.8,0.0,53.0
20.8,0.0,53.0
21.2,0.0,38.0
22.2,0.0,38.0
21.5,0.0,42.0
22.6,0.0,53.0
21.0,0.0,53.0
20.9,0.0,42.0
20.5,0.0,29.0
21.7,0.0,25.0
24.1,0.0,31.0
23.7,0.1,42.0
25.1,0.6,27.0
24.2,0.0,32.0
21.7,0.0,19.0
22.7,0.0,26.0
25.5,0.0,34.0
24.0,1.5,42.0
25.6,0.0,24.0
26.3,11.8,23.0
23.0,20.0,32.0
24.8,0.0,43.0
25.5,0.0,43.0
28.1,0.8,30.0
24.1,51.1,8.0
22.0,0.2,21.0
23.3,0.0,29.0
26.1,0.0,35.0
25.0,2.3,22.0
20.9,8.0,10.0
22.2,1.1,17.0
25.0,0.0,29.0
26.2,0.0,32.0
27.1,0.0,16.0
28.2,0.0,11.0
28.6,0.9,11.0
28.6,0.0,13.0
28.3,0.0,23.0
27.2,0.0,24.0
28.4,0.0,21.0
29.1,0.0,25.0
29.1,0.0,45.0
31.3,11.8,38.0
31.9,0.0,22.0
31.4,0.0,16.0
30.2,0.0,14.0
30.3,0.0,14.0
27.7,0.0,30.0
24.2,13.6,21.0
23.6,4.0,9.0
23.3,73.1,20.0
23.3,75.5,8.0
24.7,16.1,11.0
23.9,84.0,9.0
27.7,14.8,16.0
28.5,0.0,18.0
28.8,0.1,16.0
28.9,0.0,16.0
29.8,0.0,25.0
31.1,0.0,31.0
32.3,0.0,22.0
32.8,0.0,18.0
32.2,0.0,36.0
32.0,0.0,38.0
32.1,0.0,29.0
30.9,0.0,28.0
31.0,0.0,35.0
31.2,0.0,34.0
28.8,1.3,28.0
28.1,1.9,17.0
29.1,0.0,19.0
27.1,22.0,19.0
28.2,0.0,18.0
26.6,6.3,27.0
24.9,3.5,24.0
27.3,0.0,20.0
27.0,0.0,27.0
28.6,0.0,19.0
25.1,126.7,9.0
25.5,47.8,11.0
27.1,0.0,19.0
28.2,0.0,13.0
28.4,0.0,15.0
28.9,2.2,26.0
29.1,0.0,14.0
29.4,0.0,15.0
29.8,0.0,17.0
29.4,0.0,13.0
29.3,0.0,18.0
30.2,0.0,22.0
28.7,17.1,22.0
27.6,5.4,15.0
26.7,0.0,20.0
28.3,0.0,22.0
29.0,32.2,18.0
28.4,23.9,13.0
28.5,0.0,23.0
26.1,0.0,11.0
26.0,0.0,19.0
27.6,0.0,22.0
25.8,44.2,10.0
27.9,0.0,17.0
26.8,36.1,17.0
25.3,0.2,16.0
24.4,0.0,27.0
23.7,0.0,34.0
24.8,0.0,25.0
25.8,0.0,20.0
23.9,6.8,17.0
23.3,63.7,5.0
24.8,0.0,12.0
25.7,0.0,19.0
23.7,7.5,20.0
22.7,52.7,12.0
22.1,0.0,11.0
19.4,13.8,12.0
20.0,35.3,6.0
21.6,0.0,7.0
21.3,0.0,11.0
22.7,0.0,14.0
22.0,35.2,12.0
22.5,0.3,17.0
21.7,0.0,29.0
22.5,0.0,27.0
20.0,44.5,15.0
19.6,0.0,28.0
19.8,0.0,33.0
20.5,0.0,30.0
21.4,0.0,28.0
21.2,0.8,24.0
22.5,0.0,10.0
21.4,18.1,9.0
17.6,36.8,6.0
18.2,7.1,4.0
21.9,0.0,11.0
20.0,0.0,11.0
17.0,49.3,6.0
20.3,22.5,13.0
19.0,0.1,6.0
15.7,25.1,4.0
17.9,0.6,5.0
20.2,1.5,9.0
20.2,1.3,7.0
19.9,11.3,11.0
15.8,11.2,12.0
14.5,0.0,17.0
10.0,0.0,23.0
9.2,0.0,27.0
13.1,0.0,18.0
14.9,0.0,10.0
15.8,0.0,10.0
14.4,0.0,21.0
12.2,0.5,38.0
8.1,0.0,29.0
8.5,0.0,22.0
