theme,name,symbol

배달/온라인,BGF리테일,282330.KS
배달/온라인,GS리테일,007070.KS
배달/온라인,쿠팡,CPNG
배달/온라인,오뚜기,007310.KS
배달/온라인,CJ대한통운,000120.KS

여행/소비,대한항공,003490.KS
여행/소비,하나투어,039130.KS
여행/소비,호텔신라,008770.KS
여행/소비,CJ CGV,079160.KS
여행/소비,신세계,004170.KS

공기청정/위생,위닉스,044340.KQ
공기청정/위생,코웨이,021240.KS
공기청정/위생,LG전자,066570.KS
공기청정/위생,케이엠,083550.KQ
공기청정/위생,깨끗한나라,004540.KS

냉방/전력,LG전자,066570.KS
냉방/전력,삼성전자,005930.KS
냉방/전력,한국전력,015760.KS
냉방/전력,롯데칠성,005300.KS
냉방/전력,빙그레,005180.KS

난방/에너지,한국가스공사,036460.KS
난방/에너지,S-Oil,010950.KS
난방/에너지,SK이노베이션,096770.KS
난방/에너지,경동나비엔,009450.KS
난방/에너지,롯데웰푸드,280360.KS
