stockName,currentPrice,changeRate
VI전자01,30000,0.0
VI전자02,31500,0.0
VI전자03,32700,0.0
VI전자04,34200,0.0
VI전자05,35800,0.0
VI반도체01,72000,0.0
VI반도체02,73500,0.0
VI반도체03,74800,0.0
VI반도체04,76200,0.0
VI반도체05,77900,0.0
VI모빌리티01,98000,0.0
VI모빌리티02,101000,0.0
VI모빌리티03,104500,0.0
VI모빌리티04,108000,0.0
VI모빌리티05,112000,0.0
VI플랫폼01,43000,0.0
VI플랫폼02,44800,0.0
VI플랫폼03,46500,0.0
VI플랫폼04,48200,0.0
VI플랫폼05,50000,0.0
VI게임01,21000,0.0
VI게임02,22400,0.0
VI게임03,23900,0.0
VI게임04,25100,0.0
VI게임05,26800,0.0
VI바이오01,56000,0.0
VI바이오02,58500,0.0
VI바이오03,61200,0.0
VI바이오04,64000,0.0
VI바이오05,67500,0.0
VI식품01,18000,0.0
VI식품02,19300,0.0
VI식품03,20700,0.0
VI식품04,22100,0.0
VI식품05,23600,0.0
VI유통01,39000,0.0
VI유통02,40500,0.0
VI유통03,42100,0.0
VI유통04,43800,0.0
VI유통05,45600,0.0
VI항공01,24000,0.0
VI항공02,25500,0.0
VI항공03,26900,0.0
VI항공04,28400,0.0
VI항공05,30000,0.0
VI여행01,51000,0.0
VI여행02,52800,0.0
VI여행03,54500,0.0
VI여행04,56300,0.0
VI여행05,58200,0.0
VI전력01,22500,0.0
VI전력02,23800,0.0
VI전력03,25200,0.0
VI전력04,26700,0.0
VI전력05,28100,0.0
VI냉방01,89000,0.0
VI냉방02,91500,0.0
VI냉방03,94000,0.0
VI냉방04,96800,0.0
VI냉방05,99500,0.0
VI난방01,36000,0.0
VI난방02,37400,0.0
VI난방03,38900,0.0
VI난방04,40500,0.0
VI난방05,42200,0.0
VI가스01,67000,0.0
VI가스02,69200,0.0
VI가스03,71500,0.0
VI가스04,73900,0.0
VI가스05,76400,0.0
VI공기청정01,65000,0.0
VI공기청정02,67100,0.0
VI공기청정03,69300,0.0
VI공기청정04,71600,0.0
VI공기청정05,74000,0.0
VI위생01,3200,0.0
VI위생02,3500,0.0
VI위생03,3800,0.0
VI위생04,4100,0.0
VI위생05,4500,0.0
VI엔터01,76000,0.0
VI엔터02,78800,0.0
VI엔터03,81500,0.0
VI엔터04,84200,0.0
VI엔터05,87000,0.0
VI금융01,44000,0.0
VI금융02,45700,0.0
VI금융03,47500,0.0
VI금융04,49300,0.0
VI금융05,51200,0.0
VI건설01,12000,0.0
VI건설02,13200,0.0
VI건설03,14500,0.0
VI건설04,15800,0.0
VI건설05,17200,0.0
VI화학01,118000,0.0
VI화학02,121500,0.0
VI화학03,125000,0.0
VI화학04,128500,0.0
VI화학05,132000,0.0
