date,weather,theme,stock,price,return
2026-05-01,미세먼지,공기청정/위생,위닉스,9000,1.10
2026-05-01,미세먼지,공기청정/위생,코웨이,60000,0.50
2026-05-01,미세먼지,공기청정/위생,LG전자,128500,1.85
2026-05-01,미세먼지,공기청정/위생,케이엠,7000,0.70
2026-05-01,미세먼지,공기청정/위생,깨끗한나라,3000,0.30
2026-05-08,미세먼지,공기청정/위생,위닉스,9000,1.10
2026-05-08,미세먼지,공기청정/위생,코웨이,60000,0.50
2026-05-08,미세먼지,공기청정/위생,LG전자,128500,1.85
2026-05-08,미세먼지,공기청정/위생,케이엠,7000,0.70
2026-05-08,미세먼지,공기청정/위생,깨끗한나라,3000,0.30
2026-05-08,미세먼지,공기청정/위생,위닉스,9000,1.10
2026-05-08,미세먼지,공기청정/위생,코웨이,60000,0.50
2026-05-08,미세먼지,공기청정/위생,LG전자,128500,1.85
2026-05-08,미세먼지,공기청정/위생,케이엠,7000,0.70
2026-05-08,미세먼지,공기청정/위생,깨끗한나라,3000,0.30
2026-05-08,맑음,여행/소비,대한항공,21000,1.20
2026-05-08,맑음,여행/소비,하나투어,52000,0.80
2026-05-08,맑음,여행/소비,호텔신라,65000,1.50
2026-05-08,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-08,맑음,여행/소비,신세계,230000,0.90
2026-05-08,맑음,여행/소비,대한항공,21000,1.20
2026-05-08,맑음,여행/소비,하나투어,52000,0.80
2026-05-08,맑음,여행/소비,호텔신라,65000,1.50
2026-05-08,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-08,맑음,여행/소비,신세계,230000,0.90
2026-05-08,맑음,여행/소비,대한항공,21000,1.20
2026-05-08,맑음,여행/소비,하나투어,52000,0.80
2026-05-08,맑음,여행/소비,호텔신라,65000,1.50
2026-05-08,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-08,맑음,여행/소비,신세계,230000,0.90
2026-05-08,맑음,여행/소비,대한항공,21000,1.20
2026-05-08,맑음,여행/소비,하나투어,52000,0.80
2026-05-08,맑음,여행/소비,호텔신라,65000,1.50
2026-05-08,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-08,맑음,여행/소비,신세계,230000,0.90
2026-05-08,맑음,여행/소비,대한항공,21000,1.20
2026-05-08,맑음,여행/소비,하나투어,52000,0.80
2026-05-08,맑음,여행/소비,호텔신라,65000,1.50
2026-05-08,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-08,맑음,여행/소비,신세계,230000,0.90
2026-05-08,맑음,여행/소비,대한항공,21000,1.20
2026-05-08,맑음,여행/소비,하나투어,52000,0.80
2026-05-08,맑음,여행/소비,호텔신라,65000,1.50
2026-05-08,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-08,맑음,여행/소비,신세계,230000,0.90
2026-05-08,맑음,여행/소비,대한항공,21000,1.20
2026-05-08,맑음,여행/소비,하나투어,52000,0.80
2026-05-08,맑음,여행/소비,호텔신라,65000,1.50
2026-05-08,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-08,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-09,맑음,여행/소비,대한항공,21000,1.20
2026-05-09,맑음,여행/소비,하나투어,52000,0.80
2026-05-09,맑음,여행/소비,호텔신라,65000,1.50
2026-05-09,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-09,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,21000,1.20
2026-05-10,맑음,여행/소비,하나투어,52000,0.80
2026-05-10,맑음,여행/소비,호텔신라,65000,1.50
2026-05-10,맑음,여행/소비,CJ CGV,12000,-0.50
2026-05-10,맑음,여행/소비,신세계,230000,0.90
2026-05-10,맑음,여행/소비,대한항공,0,0.00
2026-05-10,맑음,여행/소비,하나투어,0,0.00
2026-05-10,맑음,여행/소비,호텔신라,0,0.00
2026-05-10,맑음,여행/소비,CJ CGV,0,0.00
2026-05-10,맑음,여행/소비,신세계,0,0.00
2026-05-10,맑음,여행/소비,대한항공,0,0.00
2026-05-10,맑음,여행/소비,하나투어,0,0.00
2026-05-10,맑음,여행/소비,호텔신라,0,0.00
2026-05-10,맑음,여행/소비,CJ CGV,0,0.00
2026-05-10,맑음,여행/소비,신세계,0,0.00
2026-05-10,맑음,여행/소비,대한항공,0,0.00
2026-05-10,맑음,여행/소비,하나투어,0,0.00
2026-05-10,맑음,여행/소비,호텔신라,0,0.00
2026-05-10,맑음,여행/소비,CJ CGV,0,0.00
2026-05-10,맑음,여행/소비,신세계,0,0.00
2026-05-10,맑음,여행/소비,대한항공,0,0.00
2026-05-10,맑음,여행/소비,하나투어,0,0.00
2026-05-10,맑음,여행/소비,호텔신라,0,0.00
2026-05-10,맑음,여행/소비,CJ CGV,0,0.00
2026-05-10,맑음,여행/소비,신세계,0,0.00
2026-05-10,맑음,여행/소비,대한항공,0,0.00
2026-05-10,맑음,여행/소비,하나투어,0,0.00
2026-05-10,맑음,여행/소비,호텔신라,0,0.00
2026-05-10,맑음,여행/소비,CJ CGV,0,0.00
2026-05-10,맑음,여행/소비,신세계,0,0.00
2026-05-10,맑음,여행/소비,대한항공,0,0.00
2026-05-10,맑음,여행/소비,하나투어,0,0.00
2026-05-10,맑음,여행/소비,호텔신라,0,0.00
2026-05-10,맑음,여행/소비,CJ CGV,0,0.00
2026-05-10,맑음,여행/소비,신세계,0,0.00
2026-05-10,맑음,여행/소비,대한항공,0,0.00
2026-05-10,맑음,여행/소비,하나투어,0,0.00
2026-05-10,맑음,여행/소비,호텔신라,0,0.00
2026-05-10,맑음,여행/소비,CJ CGV,0,0.00
2026-05-10,맑음,여행/소비,신세계,0,0.00
2026-05-10,맑음,여행/소비,대한항공,0,0.00
2026-05-10,맑음,여행/소비,하나투어,0,0.00
2026-05-10,맑음,여행/소비,호텔신라,0,0.00
2026-05-10,맑음,여행/소비,CJ CGV,0,0.00
2026-05-10,맑음,여행/소비,신세계,0,0.00
2026-05-12,비,배달/온라인,BGF리테일,0,0.00
2026-05-12,비,배달/온라인,GS리테일,0,0.00
2026-05-12,비,배달/온라인,쿠팡,0,0.00
2026-05-12,비,배달/온라인,오뚜기,0,0.00
2026-05-12,비,배달/온라인,CJ대한통운,0,0.00
2026-05-13,맑음,여행/소비,대한항공,0,0.00
2026-05-13,맑음,여행/소비,하나투어,0,0.00
2026-05-13,맑음,여행/소비,호텔신라,0,0.00
2026-05-13,맑음,여행/소비,CJ CGV,0,0.00
2026-05-13,맑음,여행/소비,신세계,0,0.00
